id,domain_code,title_es,description,assets_at_risk,aadapt_tactics,default_impact,status
CSPTF-THRT-REG-004,REG,Reidentificación o linkability indebida,"Actor externo, interno o automatizado intenta provocar reidentificación o linkability indebida para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",PII; KYC records; transaction monitoring; sanctions screening,Collection; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-REG-005,REG,Retención o uso incompatible de datos,"Actor externo, interno o automatizado intenta provocar retención o uso incompatible de datos para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",PII; KYC records; transaction monitoring; sanctions screening,Collection; Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-MON-001,MON,Actividad maliciosa no detectada,"Actor externo, interno o automatizado intenta provocar actividad maliciosa no detectada para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",SIEM; on-chain analytics; fraud rules; wallet monitoring,Defense Evasion; Collection; Impact; Fraud,4,draft
CSPTF-THRT-MON-002,MON,Supresión o manipulación de telemetría,"Actor externo, interno o automatizado intenta provocar supresión o manipulación de telemetría para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",SIEM; on-chain analytics; fraud rules; wallet monitoring,Defense Evasion; Collection; Impact; Fraud,4,draft
CSPTF-THRT-MON-003,MON,Falsos positivos que ocultan señales reales,"Actor externo, interno o automatizado intenta provocar falsos positivos que ocultan señales reales para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",SIEM; on-chain analytics; fraud rules; wallet monitoring,Defense Evasion; Collection; Impact; Fraud,4,draft
CSPTF-THRT-MON-004,MON,Fraude coordinado multicanal,"Actor externo, interno o automatizado intenta provocar fraude coordinado multicanal para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",SIEM; on-chain analytics; fraud rules; wallet monitoring,Defense Evasion; Collection; Impact; Fraud,3,draft
CSPTF-THRT-MON-005,MON,Respuesta tardía a drenaje o compromiso,"Actor externo, interno o automatizado intenta provocar respuesta tardía a drenaje o compromiso para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",SIEM; on-chain analytics; fraud rules; wallet monitoring,Defense Evasion; Collection; Impact; Fraud,3,draft
CSPTF-THRT-IRR-001,IRR,Contención tardía de drenaje,"Actor externo, interno o automatizado intenta provocar contención tardía de drenaje para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",incident plans; war room; pause mechanisms; recovery keys,Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-IRR-002,IRR,Pérdida de evidencia forense,"Actor externo, interno o automatizado intenta provocar pérdida de evidencia forense para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",incident plans; war room; pause mechanisms; recovery keys,Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-IRR-003,IRR,Recuperación con claves comprometidas,"Actor externo, interno o automatizado intenta provocar recuperación con claves comprometidas para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",incident plans; war room; pause mechanisms; recovery keys,Defense Evasion; Impact; Fraud,4,draft
CSPTF-THRT-IRR-004,IRR,Descuadre de reservas tras incidente,"Actor externo, interno o automatizado intenta provocar descuadre de reservas tras incidente para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",incident plans; war room; pause mechanisms; recovery keys,Defense Evasion; Impact; Fraud,3,draft
CSPTF-THRT-IRR-005,IRR,Comunicación errónea que amplifica impacto,"Actor externo, interno o automatizado intenta provocar comunicación errónea que amplifica impacto para obtener acceso, control, beneficio económico, fraude, interrupción o ventaja estratégica.",incident plans; war room; pause mechanisms; recovery keys,Defense Evasion; Impact; Fraud,3,draft
